Author,Book,School District,State,IN P DOC,Notes,"Challenge/Complaint Status

",Status,"Status Notes - See ""By School District"" Tab for More Detail",Details of Restriction,Where Did I find the book or discover the resource,Have You Read Or Examined the Entire Resource,Location in School District,Published,# Copies Total In District,Date Challenged
"Bridges, Ruby",This is your time,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,MS / HS,
"Tamaki, Mariko and Jillian Tamaki",This One Summer,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,MS,
"Jones, Carrie",Tips on having a gay (ex) boyfriend,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,
"McBride, Sarah","Tomorrow will be different : love, loss, and the fight for trans equality",McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,
"Howe, James",Totally Joe,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,MS,
"Bertie, Alex",Trans mission : my quest to a beard,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,
"Klein, Rebecca T.",Transgender rights and protections,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,MS,
"Hendriks, Jenni",Unpregnant,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,
"Córdova, Zoraida",Wayward witch,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,
"Hutchinson, Shaun David",We are the ants,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,
"Plum-Ucci, Carol",What happened to Lani Garver,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,MS,
"Albertalli, Becky",What if it's us,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,
"Nichols, Hedreich",What is the Black Lives Matter movement?,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,
"McIntosh, Kenneth",When religion & politics mix : how matters of faith influence political policies,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,
"McLemore, Anna-Marie",When the moon was ours,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,MS / HS,
"Khan-Cullors, Patrisse",When they call you a terrorist : a story of Black Lives Matter and the power to change the world,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,
"Wersba, Barbara",Whistle me home,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,MS,
"Green, John","Will Grayson, Will Grayson",McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,
"Floreen, Tim",Willful machines,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,
"Aaseng, Nathan",You are the Supreme Court justice,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,MS,
"Bunker, Lisa",Zenobia July,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,MS / HS,
"Kobabe, Maia",Gender Queer: A Memoir,McLean County Unit District No. 5,Illinois,,,,,Complaint raised in public comment - but community was prepared to speak out.,,,,,,,
"Evison, Jonathan",Lawn Boy,McLean County Unit District No. 5,Illinois,,,,,Complaint raised in public comment - but community was prepared to speak out.,,,,,,,
"Spiegelman, Art",MAUS,Mcminn County Schools,Tennessee,,"School admin offered to redact the 8 swear words and 1 picture.

Mentions that the guy used to do art for playboy. ",,,banned ,,,,,,,
"Rowell, Rainbow",Eleanor & Park,Metropolitan Nashville Public Schools,Tennessee,,,Challenged in Board Meeting,Status Unknown,February 2022,,,,,,,
"Reynolds, Jason and Brenden Kiely",All American Boys,Middlebury Community Schools,Indiana,,Middle School Library,unclear - but think use,Restricted,School board requires parental consent,,,,,,,
"Reynolds, Jason and Brenden Kiely",All American Boys,Middlebury Community Schools,Indiana,,High School Library,unclear - but think use,Restricted,School board requires parental consent,,,,,,,
"Medina, Meg",Burn Baby Burn,Middlebury Community Schools,Indiana,,High School Library,unclear - but think use,Restricted,School board requires parental consent,,,,,,,
"King, AS",Everybody Sees the Ants,Middlebury Community Schools,Indiana,,High School Library,unclear - but think use,Restricted,School board requires parental consent,,,,,,,
"Levithan, David",Everyday,Middlebury Community Schools,Indiana,,High School Library,unclear - but think use,Restricted,School board requires parental consent,,,,,,,
"Benway, Robin",Far From the Tree,Middlebury Community Schools,Indiana,,Middle School Library,unclear - but think use,Restricted,School board requires parental consent,,,,,,,
"Perez, Ashley Hope",OUT OF DARKNESS,Middlebury Community Schools,Indiana,,High School Library,unclear - but think use,Restricted,School board requires parental consent,,,,,,,
"Myracle, Lauren",The Infinite Moment of Us,Middlebury Community Schools,Indiana,,High School Library,unclear - but think use,Restricted,School board requires parental consent,,,,,,,
"Rhodes-Courter, Ashley",Three Little Words: A Memoir,Middlebury Community Schools,Indiana,,Middle School Library,unclear - but think use,Restricted,School board requires parental consent,,,,,,,
"Rhodes-Courter, Ashley",Three Little Words: A Memoir,Middlebury Community Schools,Indiana,,High School Library,unclear - but think use,Restricted,School board requires parental consent,,,,,,,
"Stone, Nic",Dear Martin,Monett R-1 School District,Missouri,,,yes,Removed,Removed from curriculum after complaint.,,,,,,,
"Green, John",Looking for Alaska,Moore County Schools,North Carolina,n/a,,Formal Challenge Filed,unclear if removed from shelves during challenge,,,,,,,,
"Frank, ER",Life is Funny,Moore County Schools,North Carolina,yes,,Formal Challenge Filed,Removed,After Complaint,,,,,,,
"Perez, Ashley Hope",Out of DARKNESS,Moore County Schools,North Carolina,yes,,Formal Challenge Filed,Removed,After Complaint,,,,,,,
"Evison, Jonathan",Lawn Boy,Moore County Schools,North Carolina,,Decision coming 3/2022,Formal Challenge Filed,unclear if removed from shelves during challenge,Board Members plan to review books in next work session,,,,,,,
"Gino, Alex",MElissa (George),Moore County Schools,North Carolina,,,Formal Challenge Filed,Retained 3/2022,Board Members plan to review books in next work session,,,,,,2,
"Lee, Harper",To Kill a Mockingbird,Mukilteo School District No 6,Washington,yes,,Formal Challenge Filed,Removed from required reading lists,,,,,,,,
"Rapp, Adam",33 Snofish,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Maas, Sarah J",A Court of Mist and Fury,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Ramee, Lisa Moore",A Good Kind of Trouble,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,"Hillcrest Jr, Riverview",,,,,
"Ramee, Lisa Moore",A Good Kind of Trouble,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Riverview and Hillcrest,,,,,
"Craig, Joe",A Guy’s Guide to Sexuality and Sexual Identity in the 21st Century,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,A Queer History of the United States for Young People,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,HILLCREST JR,,,,,
,A Young People's HIstory of the United States,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Saenz, Benjamin Alire",Aristotle and Dante Discover the Secrets of the Universe,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Lauren, Christina",Autoboyography,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,"Murray High, Riverview Jr",,,,,
,Bait,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,Beautiful,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Jennings, Jazz.",Being Jazz – my life as a transgender teen,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Riverview Jr,,,,,
,Being transgender,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,HILLCREST JR,,,,,
"Morrison, Toni",Beloved,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Kuklin, Susan","Beyond magenta :
 transgender teens speak
 out",Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,Black Lives Matter,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Bayron, Kalynn",Cinderella is Dead,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,HILLCREST JR,,,,,
,City of Heavenly Fire,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,"Murray, Hillcrest, Riverview ",,,,,
,Civic Unrest: Investigate the struggle for social change,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,HILLCREST JR,,,,,
,Coming Out and Seeking Support,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,Confronting LGBTQ+ Discrimination,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Hopkins, Ellen",Crank,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Arnold, Elana K",Damsel,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Siegel, Alexis",Deogratias: A Tale of Rwanda,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,Did I Mention I Love You?,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,Double Challenge: Being LGBTQ and a minoirty,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Telgemeier, Raina",Drama,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,"Viewmont, Parkside, Riverview,",,,,,
,Dreaming in Cuban,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Rowell, Rainbow",Eleanor & Park,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Tregay, Sarah",Fan Art,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,Forever for a Year,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,Gender identity : beyond pronouns and bathrooms,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,Gender Identity: THe search for self,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Huegel, Kelly","GLBTQ: THe Survival Guide for Gay, Lesbian, Bisexual, Transgender, and questioning teens",Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,Hearts Unbroken,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Riverview Jr,,,,,
,Home and Family Relationships: Rainbow families,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Gyasi, Yaa",Homegoing,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Ahmadi, Arvin",How it all Blew Up,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,I am Alfonso Jones,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Riverview,,,,,
"Sanchez, Erika L.",I Am Not Your Perfect Mexican Daughter,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Russo, Meredith",If I Was Your Girl,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,"Invisible Man Got the Whole World Watching, A Young Black Man’s Education",Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Rivera, Gabby",Juliet Takes a Breath,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Albertalli, Becky",Leah on the Offbeat,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Colbert, Brandy",Little and Lion,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,"Murray, Riverview",,,,,
"Green, John",Looking for Alaska,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,Marriage of a Thousand Lies,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Andrews, Jesse",Me and Earl and the Dying Girl,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Gino, Alex",Melissa (George),Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Riverview and Hillcrest,,,,,
"Jackson, Tiffany",Monday's Not Coming,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,Music from Another World,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Picoult, Jodi",My sister's Keeper,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,My Two Dads,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Parkside,,,,,
,My Two Moms,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Parkside,,,,,
"Picoult, Jodi",Nineteen Minutes,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,Not Otherwise Specified,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,Out Now: Queer We Go Again,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Perez, Ashley HOpe",Out of Darkness,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High and Riverview Jr,,,,,
,Perfect Chemistry,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,Perfectly Good White Boy,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,Prostitution,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Prager, Sarah","Queer, there and everywhere : 23 people who changed the world",Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Belge, Kathy and Marke Bieschke",Queer: The Ultimate LGBTQ guide for teens,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Sanchez, Alex",Rainbow Boys,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Sanchez, Alex",Rainbow High,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Prager, Sarah",Rainbow revolutionaries : 50 LGBTQ+ people who made history,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Viewmont),,,,,
"Lawson, Jamie","Rainbow Revolutions : Power, Pride, and Protest in the Fight for Queer Rights",Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Riverview Jr,,,,,
"Cabot, MEg",Ready or Not,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Lockhart, E","Real Live Boyfriends: Yes. Boyfriends, Plural. If My LIfe Weren't Complicated, I wouldn't be Ruby Oliver",Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Gino, Alex",Rick,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Riverview and Hillcrest,,,,,
,Sex,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Riverview Jr,,,,,
,Sexual Behavior and Unplanned Pregnancy,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Albertalli, Becky",Simon vs. the Homosapiens Agenda,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,HILLCREST JR,,,,,
"McCormick, Patricia",Sold,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Anderson, Laurie Halse",Speak,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,"Murray, Riverview, Hillcrest",,,,,
,Speaking Out: Queer Youth in Focus,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,Stage Dreams,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,HILLCREST JR,,,,,
,Synchro Boy,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,HILLCREST JR,,,,,
,The Big Questions Book of Sex and Consent,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Riverview Jr,,,,,
,The Bluest Eye,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Johnson, Cathy G.",The Breakaways,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,"Hillcrest Jr, Riverview",,,,,
"Foley, Jessie Ann",The Carnival at the Bray,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Wall, Jeanette",The Glass Castle,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Atwood, Margaret Adapted by Renee Nault",The Handmaid's Tale Graphic Novel ,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Gottfred, BT",The Handsome Girl and Her Beautiful Boy,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Thomas, Angie",The Hate U Give,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High; Riverview Jr; Hillcrest Jr,,,,,
,The Invisible LIfe of Addie LaRue,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,The list of things that will not change,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,"Horizon, Parkside",,,,,
"Konigsberg, Bill",The Music of What Happens,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Sones, Sonya",The Opposite of Innocent,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,"Murray High ""Removed in Canyons""",,,,,
"Chbosky, Stephen",THe Perks of Being a Wallflower,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Mathreu, Jennifer",The Truth About Alice,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Asher, Jay",Thirteen Reasons Why,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray and Riverview,,,,,
,"Trans+: Love, Sex, Romance and Being You",Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,Understanding sexual orientation and gender identity – two different books with same title,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,HILLCREST JR,,,,,
"Khan-Cullors, Patrisse",When they call you a Terrorist: a story of Black Lives Matter and the power to change the world,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Khan-Cullors, Patrisse",When They Call You a Terrorist: a story of Black Lives Matter and the power to change the world,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,When You’re Ready: Coming Out,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
,You Do You,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Riverview Jr,,,,,
,You Don’t Live Here,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,
"Ungar-Sargon, Batya",Bad News: How Woke Medica is Underminindg Democracy,Natrona County,Wyoming,n/a,,no,unclear,No formal complaint filed - District not acting - parents still want action however and continue to ask at board meetings,,,,,,,
"Sowell, Thomas",Black Rednecks and White Liberals,Natrona County,Wyoming,n/a,,no,unclear,No formal complaint filed - District not acting - parents still want action however and continue to ask at board meetings,,,,,,,
"Gonzalex, Mike",BLM: The Making of a New Marxist Revolution,Natrona County,Wyoming,n/a,,no,unclear,No formal complaint filed - District not acting - parents still want action however and continue to ask at board meetings,,,,,,,
"Kobabe, Maia",Gender Queer: A Memoir,Natrona County,Wyoming,n/a,,no,unclear,No formal complaint filed - District not acting - parents still want action however and continue to ask at board meetings,,,,,,,
"Jackson, Tiffany",Monday's not Coming,Natrona County,Wyoming,n/a,,no,unclear,No formal complaint filed - District not acting - parents still want action however and continue to ask at board meetings,,,,,,,
"Hayek, Friedrich",The Road to Serfdom,Natrona County,Wyoming,n/a,,no,unclear,No formal complaint filed - District not acting - parents still want action however and continue to ask at board meetings,,,,,,,
"Hopkins, Ellen",Traffick,Natrona County,Wyoming,n/a,,no,unclear,No formal complaint filed - District not acting - parents still want action however and continue to ask at board meetings,,,,,,,
"Dinnison, Kris",You and Me and Him,Natrona County,Wyoming,n/a,,no,unclear,No formal complaint filed - District not acting - parents still want action however and continue to ask at board meetings,,,,,,,
"Draper, Sharon",Panic,New Kent Middle School,Virginia,yes,Book Riot News Oct 22 2021,Informal Challenge,Challenged but probably on shelves,need more details on the status,,,,,,,
