level_0,old_index,State,District,Origin of Challenge,Date of Challenge/Removal,Type of Ban,Author,Title,Secondary Author(s),Illustrator(s),Translator(s),description,publishedDate,categories,cluster,pca1,pca2,pca3
424,567,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Jules, Jacqueline",The Beach Trip (Sofía Martínez Series),,"Smith, Kim",,"Sofia and her family are headed to the beach for the weekend, and Sofia is packed and ready to go. But once they get to the beach house, it's obvious that Sofia did not pack basic beach gear. Will her beach trip be ruined? Spanish words are used throughout this early chapter ebook.",2019-05-01,juvenile fiction,10,-2.4177897,2.377808,-1.7362757
425,568,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Jules, Jacqueline",The Marigold Mess (Sofía Martínez Series),,"Smith, Kim",,"Instead of the usual dusting Sofia volunteers to wash the car--but when she leaves the hose on, her mother's marigolds get flooded and she calls on her sisters to save the situation.",2015,juvenile fiction,10,-1.582444,3.1505928,-5.2631865
426,569,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Jules, Jacqueline",The Missing Mouse (Sofía Martínez Series),,"Smith, Kim",,"Sofia is temporarily entrusted with Snowflake the class mouse--but he escapes, and she and her sisters must figure out a way to catch him.",2015,juvenile fiction,2,-3.4462483,1.1612043,-3.4509118
427,570,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Jules, Jacqueline",The Secret Recipe (Sofía Martínez Series),,"Smith, Kim",,"Sofia helps her abuela make arroz con leche for the church dinner, but things donÕt go as planned. Find out if Sofia is able to fix the recipe so her grandma isnÕt embarrassed in this early chapter eBook. Spanish words and phrases are integrated into the story, and the back matter includes a Spanish glossary, discussion questions, and writing prompts.",2019-05-01,juvenile fiction,10,-0.99158543,0.8825712,-1.9797378
428,571,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Kaiser, Lisbeth","Maya Angelou (Little People, Big Dreams Series)",,"Salaberria, Leire",,"In this international bestseller from the critically acclaimed Little People, BIG DREAMS series, discover the incredible life of Maya Angelou, the powerful speaker, writer, and civil rights activist. Maya Angelou spent much of her childhood in Stamps, Arkansas. After a traumatic event at age eight, she stopped speaking for five years. However, Maya rediscovered her voice through wonderful books, and went on to become one of the world's most beloved writers and speakers. This moving book features stylish and quirky illustrations and extra facts at the back, including a biographical timeline with historical photos and a detailed profile of Maya Angelou's life. Little People, BIG DREAMS is a best-selling series of books and educational games that explore the lives of outstanding people, from designers and artists to scientists and activists. All of them achieved incredible things, yet each began life as a child with a dream. This empowering series offers inspiring messages to children of all ages, in a range of formats. The board books are told in simple sentences, perfect for reading aloud to babies and toddlers. The hardcover versions present expanded stories for beginning readers. Boxed gift sets allow you to collect a selection of the books by theme. Paper dolls, learning cards, matching games, and other fun learning tools provide even more ways to make the lives of these role models accessible to children. Inspire the next generation of outstanding people who will change the world with Little People, BIG DREAMS!",2018-03-15,juvenile nonfiction,9,1.9295167,-0.6315627,-2.4574127
429,572,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Katz, Karen",Los colores de nuestra piel/The Colors of Us (Spanish Version),,,"Marfà Pagès, Fina","Explains, in simple terms, the reasons for skin color, how it is determined by heredity, and how various environmental factors affect it.",2014,juvenile nonfiction,5,7.511278,2.5791652,1.2666663
430,573,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Katz, Karen",The Colors of Us,,,,"A positive and affirming look at skin color, from an artist's perspective. Seven-year-old Lena is going to paint a picture of herself. She wants to use brown paint for her skin. But when she and her mother take a walk through the neighborhood, Lena learns that brown comes in many different shades. Through the eyes of a little girl who begins to see her familiar world in a new way, this book celebrates the differences and similarities that connect all people. Karen Katz created The Colors of Us for her daughter, Lena, whom she and her husband adopted from Guatemala six years ago.",2020-10-06,juvenile fiction,9,2.1046422,2.5415444,-2.7320204
431,577,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Khalil, Aya",The Arabic Quilt: An Immigrant Story,,"Semirdzhyan, Anait",,"2021 ARAB AMERICAN CHILDREN'S BOOK AWARD WINNER Children's Africana Book Award (CABA) 2021 Honor Book NCSS 2021 Notable Social Studies Book Kanzi’s family has moved from Egypt to America, and on her first day in a new school, what she wants more than anything is to fit in. Maybe that’s why she forgets to take the kofta sandwich her mother has made for her lunch, but that backfires when Mama shows up at school with the sandwich. Mama wears a hijab and calls her daughter Habibti (dear one). When she leaves, the teasing starts. That night, Kanzi wraps herself in the beautiful Arabic quilt her teita (grandma) in Cairo gave her and writes a poem in Arabic about the quilt. Next day her teacher sees the poem and gets the entire class excited about creating a “quilt” (a paper collage) of student names in Arabic. In the end, Kanzi’s most treasured reminder of her old home provides a pathway for acceptance in her new one. This authentic story with beautiful illustrations includes a glossary of Arabic words and a presentation of Arabic letters with their phonetic English equivalents.",2020-02-18,juvenile fiction,10,-1.697972,1.6195251,-3.667876
432,578,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Khan, Brooke",Home of the Brave: 15 Immigrants Who Shaped U.S. History,,,,"The United States has always been a nation of immigrants -- and now you can learn all about the amazing people who’ve helped shape it! Home of the Brave gives you an exciting and engaging look into the lives of these incredible individuals, as well as their contributions to the American we know and love. From Levi Strauss to Madeleine Albright, discover how these dedicated and creative people made their mark -- and how you can follow in their footsteps.",2019-11-05,juvenile nonfiction,9,4.159891,-1.8983698,-3.2530503
433,579,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Khan, Hena",Like the Moon Loves the Sky,,"Khan, Saffa",,"A lyrical and heartwarming celebration of a mother's love for her children by the award-winning author of Golden Domes and Silver Lanterns. In this moving picture book, author Hena Khan shares her wishes for her children: ""Inshallah you find wonder in birds as they fly. Inshallah you are loved, like the moon loves the sky."" With vibrant illustrations and prose inspired by the Quran, this charming picture book is a heartfelt and universal celebration of a parent's unconditional love. • A reassuring bedtime read-aloud for mothers and their children. • A perfect book for sharing Muslim family traditions and for families teaching diversity and religious acceptance. • Hena Khan's books have been widely acclaimed, winning awards and honors from the ALA, Parent's Choice, and many others. For families who have read and loved Under My Hijab, Yo Soy Muslim, and Mommy's Khimar. A sweet and lovely bedtime book to help let children know they are loved and precious. • Bedtime books for ages 3–5 • Mother's Day gift • Islamic children's books Hena Khan is the author of Golden Domes and Silver Lanterns, Crescent Moons and Pointed Minarets, Night of the Moon, and many other books for children. She lives in Rockville, Maryland. Saffa Khan is an illustrator and printmaker born in Dera Ismail Khan, Pakistan, and living in Glasgow, Scotland.",2020-03-10,juvenile fiction,9,0.53007,-3.619141,-5.748828
434,580,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Khan, Hena",Under My Hijab,,"Jaleel, Aaliya",,"Grandma wears it clasped under her chin. Aunty pins hers up with a beautiful brooch. Jenna puts it under a sun hat when she hikes. Zara styles hers to match her outfit. As a young girl observes six very different women in her life who each wear the hijab in a unique way, she also dreams of the rich possibilities of her own future, and how she will express her own personality through her hijab. Written in sprightly rhyme and illustrated by a talented newcomer, Under My Hijab honors the diverse lives of contemporary Muslim women and girls, their love for each other, and their pride in their culture and faith.",2021,juvenile fiction,9,-0.25536147,-0.22738329,-4.184184
435,581,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Kissinger, Katie",All the Colors We Are: Todos los colores de nuestra piel/The Story of How We Get Our Skin Color,,,,"Colorful photographs and engaging English/Spanish text showcase the beautiful diversity of skin color. This twentieth anniversary edition offers young children a simple, scientifically accurate explanation for how we get our skin color. Understanding melanin frees children from myths and stereotypes and helps celebrate one of the ways we are special and different from one another—our skin color.",2016-02-01,juvenile nonfiction,9,4.8751593,-2.0735073,-1.4271021
436,583,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Kostecki-Shaw, Jenny Sue","Iguales, pero diferentes (Same, Same But Different)",,,,"Pen pals Elliot and Kailash discover that even though they live in different countries--America and India--they both love to climb trees, have pets, and ride a school bus.",2011-09-13,juvenile fiction,9,0.8091328,-1.1086756,-2.4112635
437,585,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Krull, Kathleen",Harvesting Hope: The Story of Cesar Chavez,,"Morales, Yuyi",,"A biography of Cesar Chavez, from age ten when he and his family lived happily on their Arizona ranch, to age thirty-eight when he led a peaceful protest against California migrant workers' miserable working conditions.",2003,juvenile nonfiction,0,1.4903381,-0.9671731,1.2256297
438,586,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Krull, Kathleen",Starstruck: The Cosmic Journey of Neil Degrasse Tyson,"Brewer, Paul","Morrison, Frank",,"A picture-book biography about science superstar Neil deGrasse Tyson, the groundbreaking American astrophysicist whose work has inspired a generation of young scientists and astronomers to reach for the stars! Perfect for STEM curricula and readers of all ages. Young Neil deGrasse Tyson was starstruck when he first visited the sky theater at the Hayden Planetarium in New York City. He couldn't believe the crowded, glittering night sky at the planetarium was real--until a visit to the country years later revealed the impossible. That discovery was like rocket fuel for Neil's passion about space. His quest for knowledge took him from the roof of his apartment building to a science expedition in northwest Africa, to a summer astronomy camp beneath a desert sky, and finally back home to become the director of the Hayden Planetarium, where it all began. Before long, Neil became America's favorite guide to the cosmos. This story of how one boy's quest for knowledge about space leads him to become a star astrophysicist is perfect for young readers who are fascinated by the universe, aspiring scientists, and the dreamer in all of us. It will ignite your own sense of wonder.",2020-09,african american physicists,3,-0.28315604,-2.649341,0.9502397
439,587,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Krull, Kathleen",What Was the March on Washington? (What was...? Series),,"Tomkinson, Tim",,"On August 28, 1963, more than 200,000 people gathered in Washington, DC, to demand equal rights for all races. It was there that Martin Luther King Jr. delivered his ""I Have a Dream"" speech, and it was this peaceful protest that spurred the momentous civil rights laws of the mid-1960s. With black-and-white artwork throughout and sixteen pages of photographs, the March is brought to life!",2013-02-07,juvenile nonfiction,7,3.392077,-0.9989251,-1.1448697
440,588,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Kuhlman, Evan",Hank's Big Day: The Story of a Bug,,"Groenink, Chuck",,"Hank is a pill bug whose daily routine involves nibbling a dead leaf, climbing up a long stick, avoiding a skateboarder, and playing pretend with his best friend, a human girl named Amelia.",2016,juvenile fiction,3,-2.2574394,-2.5566063,-1.0272325
441,590,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Labrecque, Ellen",Who Was Maya Angelou? (Who was...? Series),,"Putra, Dede",,"Born in Missouri in 1928, Maya Angelou had a difficult childhood. Jim Crow laws segregated blacks and whites in the South. Her family life was unstable at times. But much like her poem, ""Still I Rise,"" Angelou was able to lift herself out of her situation and flourish. She moved to California and became the first black--and first female--streetcar operator before following her interest in dance. She became a professional performer in her twenties and toured the U.S. and Europe as an opera star and calypso dancer. But Angelou's writing became her defining talent. Her poems and books, including I Know Why the Caged Bird Sings, brought her international acclaim.",2016,juvenile nonfiction,0,0.55549526,2.6075325,-2.5082114
442,591,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Ladson-Billings, Gloria",The Dreamkeepers: Successful Teachers of African American Children,,,,"In the second edition of her critically acclaimed book The Dreamkeepers, Gloria Ladson-Billings revisits the eight teachers who were profiled in the first edition and introduces us to new teachers who are current exemplars of good teaching. She shows that culturally relevant teaching is not a matter of race, gender, or teaching style. What matters most is a teacher's efforts to work with the unique strengths a child brings to the classroom. A brilliant mixture of scholarship and storytelling, The Dreamkeepers challenges us to envision intellectually rigorous and culturally relevant classrooms that have the power to improve the lives of not just African American students, but all children. This new edition also includes questions for reflection",2009-03-23,education,9,3.7911167,-0.7299283,-4.6264935
443,592,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Lainez, Rene Colato",¡Vámonos! Let's Go!,,"Cepeda, Joe",,"When Miguelito loses a tooth, two legendary characters come to claim it: one who is responsible for collecting teeth in the United States, the Tooth Fairy, and one who has collected the teeth of the boy's parents and grandparents, El Ratón Pérez.",2010-01-01,juvenile fiction,3,0.104887545,-2.0072868,2.6784914
444,593,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Lassieur, Allison",25 Women Who Dared to Go,,,,"From the fearless to the feared, discover 25 women who dared. Dared to conquer their dreams, win wars, discover sights unseen and more. Readers will learn about bold women who were determined to achieve something great in the face of adversity.",2020-10-01,,2,-0.18395337,2.0705895,-1.7595756
445,594,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Latham, Irene","Can I Touch Your Hair? Poems of Race, Mistakes, and Friendship","Waters, Charles","Qualls, Sean; Alko, Selina",,"Audisee® eBooks with Audio combine professional narration and text highlighting for an engaging read aloud experience! Two poets, one white and one black, explore race and childhood in this must-have collection tailored to provoke thought and conversation. How can Irene and Charles work together on their fifth grade poetry project? They don't know each other . . . and they're not sure they want to. Irene Latham, who is white, and Charles Waters, who is Black, use this fictional setup to delve into different experiences of race in a relatable way, exploring such topics as hair, hobbies, and family dinners. Accompanied by artwork from acclaimed illustrators Sean Qualls and Selina Alko (of The Case for Loving: The Fight for Interracial Marriage), this remarkable collaboration invites readers of all ages to join the dialogue by putting their own words to their experiences.",2020-01-01,juvenile nonfiction,7,3.0526965,-1.8909187,-1.8116493
446,595,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Le, Minh",Drawn Together,,"Santat, Dan",,"The recipient of six starred reviews and the APALA Asian/Pacific American Award for Literature! Named a Best Book of 2018 by the Wall Street Journal, NPR, Smithsonian, Kirkus Reviews, School Library Journal, Booklist, the Bulletin of the Center for Children's Books, BookRiot, the New York Public Library, the Chicago Public Library-and many more! When a young boy visits his grandfather, their lack of a common language leads to confusion, frustration, and silence. But as they sit down to draw together, something magical happens-with a shared love of art and storytelling, the two form a bond that goes beyond words. With spare, direct text by Minh Lê and luminous illustrations by Caldecott Medalist Dan Santat, this stirring picturebook about reaching across barriers will be cherished for years to come. A Junior Library Guild selection!",2018-06-04,juvenile fiction,1,0.44479096,-3.5590653,-0.20292693
447,596,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Lee, Lyla",Mindy Kim and the Big Pizza Challenge (Mindy Kim Series),,"Ho, Dung",,"Fresh off the Boat meets Junie B. Jones in this adorable chapter book series following Mindy Kim, a young Asian American girl—in this sixth novel, Mindy enters a delicious pizza competition! Mindy Kim loves food—from her beloved Korean staples to pizza! When a local pizza place advertises a trivia competition, Mindy can’t believe that the big prize is unlimited pizza for a whole year! Mindy is confident she and her dad can take the top spot. But Dad is worried he might not understand all the cultural references. And he wants Mindy to know that the most important thing is to always try your best, even if you don’t win. Can Mindy and her Dad have fun together, win or lose?",2021-09-14,juvenile fiction,10,-2.4518247,-2.8604267,-2.1548913
448,597,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Lee, Lyla",Mindy Kim and the Birthday Puppy (Mindy Kim Series),,"Ho, Dung",,"Fresh off the Boat meets Junie B. Jones in this third novel in an adorable chapter book series about Mindy Kim, a young Asian American girl who wants a puppy for her birthday! All Mindy Kim has ever wanted is a puppy of her very own. After all, having all the toy dog plushies in the world isn’t quite the same thing as a real one! She wants a dog to take on walks, teach tricks, and cuddle with. She knows she has what it takes to be the perfect pet owner, and she thinks a dog would be a perfect gift for her upcoming birthday. But her dad isn’t so sure she’s ready for the big responsibility. Can Mindy prove to her dad that she can handle a new addition to the Kim household?",2020-06-09,juvenile fiction,9,-0.6368306,-2.2888286,-2.9543953
449,598,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Lee, Lyla",Mindy Kim and the Fairy-Tale Wedding (Mindy Kim Series),,"Ho, Dung",,"Fresh off the Boat meets Junie B. Jones in this adorable chapter book series following Mindy Kim, a young Asian American girl—in this seventh novel, Mindy’s dad and Julie get married! It’s time for a big celebration in Mindy Kim’s family: Dad and Julie are getting married! Mindy can’t wait to be the flower girl, wear her new hanbok, and officially welcome Julie into the family.",2022-04-05,juvenile fiction,9,-0.48121935,-1.8204553,-3.2298622
450,599,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Lee, Lyla",Mindy Kim and the Lunar New Year Parade (Mindy Kim Series),,"Ho, Dung",,"Fresh Off the Boat meets Junie B. Jones in this second novel in an adorable new chapter book series about Mindy Kim, a young Asian American girl who is getting ready to celebrate Lunar New Year! Mindy is excited to celebrate the Lunar New Year! Even though it’s the first one without her mom, Mindy is determined to enjoy the day. She decides to make traditional Korean New Year food, a rice cake soup that’s her favorite. But things aren’t going quite to plan, and the celebration doesn’t feel the same as it did before. With the help of her family and friends, can Mindy find a way to still enjoy her old holiday traditions, and create new ones along the way?",2020-01-14,juvenile fiction,10,-2.4586072,0.43920088,-4.156992
451,600,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Lee, Lyla",Mindy Kim and the Trip to Korea (Mindy Kim Series),,"Ho, Dung",,"Fresh off the Boat meets Junie B. Jones in the adorable chapter book series following Mindy Kim, a young Asian American girl—in this fifth novel, Mindy goes to South Korea! Mindy is super excited to go to South Korea to visit her grandparents! She has never taken such a big trip before, and she can’t wait to see her family again. Plus, Dad’s girlfriend, Julie, is also going to meet the family for the first time. Mindy and Julie decide to make a traditional Korean meal for the family as a thank-you for hosting. But after a few mishaps, Mindy fears they are cooking up a big disaster in the kitchen! Can Mindy and Julie make sure their meal passes the most important taste test of them all?",2021-06-08,juvenile fiction,10,-1.8189986,-0.47832692,-4.330866
452,601,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Lee, Lyla",Mindy Kim and the Yummy Seaweed Business (Mindy Kim Series),,"Ho, Dung",,"Fresh Off the Boat meets Junie B. Jones in this first novel in an adorable new chapter book series about Mindy Kim, a young Asian American girl who is starting a snack business! Mindy Kim just wants three things: 1. A puppy! 2. To fit in at her new school 3. For her dad to be happy again But, getting all three of the things on her list is a lot trickier than she thought it would be. On her first day of school, Mindy’s school snack of dried seaweed isn’t exactly popular at the lunch table. Luckily, her new friend, Sally, makes the snacks seem totally delicious to Mindy’s new classmates, so they decide to start the Yummy Seaweed Business to try and raise money for that puppy! When another student decides to try and sabotage their business, Mindy loses more than she bargained for—and wonders if she’ll ever fit in. Will Mindy be able to overcome her uncertainty and find the courage to be herself?",2020-01-14,juvenile fiction,10,-2.1545706,-0.2848727,-3.9088488
453,602,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Lee, Lyla","Mindy Kim, Class President (Mindy Kim Series)",,"Ho, Dung",,"Fresh Off the Boat meets Junie B. Jones in the adorable chapter book series following Mindy Kim, a young Asian American Girl—in this fourth novel, Mindy runs for class president! It’s time to pick a class president, and Mindy really wants to win—and she’s basing her entire campaign on snacks and being kind, so how could she NOT be chosen? But there is one big thing that Mindy is not sure she can do—make a speech to her class about why she would be the best pick for president. Can Mindy face her fears and show the class—and herself—that she can be the best class president ever?",2020-09-15,juvenile fiction,10,-2.2697463,1.5679725,-3.859684
454,603,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Levine, Ellen",Henry's Freedom Box: A True Story from the Underground Railroad,,"Nelson, Kadir",,"A stirring, dramatic story of a slave who mails himself to freedom by a Jane Addams Peace Award-winning author and a Coretta Scott King Award-winning artist.Henry Brown doesn't know how old he is. Nobody keeps records of slaves' birthdays. All the time he dreams about freedom, but that dream seems farther away than ever when he is torn from his family and put to work in a warehouse. Henry grows up and marries, but he is again devastated when his family is sold at the slave market. Then one day, as he lifts a crate at the warehouse, he knows exactly what he must do: He will mail himself to the North. After an arduous journey in the crate, Henry finally has a birthday -- his first day of freedom.",2016-03-29,juvenile fiction,3,-2.2760644,-0.42066902,1.0021118
455,604,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Lin, Grace",A Big Mooncake for Little Star,,,,"A gorgeous picture book that tells a whimsical origin story of the phases of the moon, from award-winning, bestselling author-illustrator Grace Lin Pat, pat, pat... Little Star's soft feet tiptoed to the Big Mooncake. Little Star loves the delicious Mooncake that she bakes with her mama. But she's not supposed to eat any yet! What happens when she can't resist a nibble? In this stunning picture book that shines as bright as the stars in the sky, Newbery Honor author Grace Lin creates a heartwarming original story that explains phases of the moon.",2018-08-28,juvenile fiction,9,-0.83953184,-3.0451322,-3.6569862
456,606,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Love, Bettina L.",We Want to Do More Than Survive: Abolitionist Teaching and the Pursuit of Educational Freedom,,,,"Winner of the 2020 Society of Professors of Education Outstanding Book Award Drawing on personal stories, research, and historical events, an esteemed educator offers a vision of educational justice inspired by the rebellious spirit and methods of abolitionists. Drawing on her life’s work of teaching and researching in urban schools, Bettina Love persuasively argues that educators must teach students about racial violence, oppression, and how to make sustainable change in their communities through radical civic initiatives and movements. She argues that the US educational system is maintained by and profits from the suffering of children of color. Instead of trying to repair a flawed system, educational reformers offer survival tactics in the forms of test-taking skills, acronyms, grit labs, and character education, which Love calls the educational survival complex. To dismantle the educational survival complex and to achieve educational freedom—not merely reform—teachers, parents, and community leaders must approach education with the imagination, determination, boldness, and urgency of an abolitionist. Following in the tradition of activists like Ella Baker, Bayard Rustin, and Fannie Lou Hamer, We Want to Do More Than Survive introduces an alternative to traditional modes of educational reform and expands our ideas of civic engagement and intersectional justice.",2019-02-19,education,7,5.032164,-0.6307316,-1.0929953
457,607,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Love, Jessica",Julián Is a Mermaid (Julián Series),,,,"In an exuberant picture book, a glimpse of costumed mermaids leaves one boy flooded with wonder and ready to dazzle the world. While riding the subway home from the pool with his abuela one day, Julián notices three women spectacularly dressed up. Their hair billows in brilliant hues, their dresses end in fishtails, and their joy fills the train car. When Julián gets home, daydreaming of the magic he’s seen, all he can think about is dressing up just like the ladies in his own fabulous mermaid costume: a butter-yellow curtain for his tail, the fronds of a potted fern for his headdress. But what will Abuela think about the mess he makes — and even more importantly, what will she think about how Julián sees himself? Mesmerizing and full of heart, Jessica Love’s author-illustrator debut is a jubilant picture of self-love and a radiant celebration of individuality.",2019-06-18,juvenile fiction,10,-2.1585195,-3.2777936,-2.8935642
458,608,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Ludwig, Trudy",The Power of One: Every Act of Kindness Counts,,"Curato, Mike",,"One small act of kindness can change the world. From esteemed bullying expert and author of The Invisible Boy, Trudy Ludwig and Little Elliot illustrator Mike Curato comes a tale as simple--and simply inspiring--as the golden rule. When one child reaches out in friendship to a classmate who seems lonely, she begins a chain reaction of kindness that ripples throughout her school and her community. One kind act begets another, small good deeds make way for bigger ones, and eventually the whole neighborhood comes together to build something much greater than the sum of its parts. From acclaimed bullying expert Trudy Ludwig, The Power of One not only conveys a message of kindness, it offers concrete steps that kids can take to make a difference in their own communities. As Trudy says in the final line of the book: ""Acts and words of kindness DO count, and it all starts with ONE.""",2020-08-25,juvenile fiction,9,0.4300404,-2.2378836,-1.7711159
459,610,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Lyiscott, Jamila","Black Appetite. White Food.: Issues of Race, Voice, and Justice Within and Beyond the Classroom",,,,"Black Appetite. White Food. invites educators to explore the nuanced manifestations of white privilege as it exists within and beyond the classroom. Renowned speaker and author Jamila Lyiscott provides ideas and tools that teachers, school leaders, and professors can use for awareness, inspiration, and action around racial injustice and inequity. Part I of the book helps you ask the hard questions, such as whether your pedagogy is more aligned with colonialism than you realize and whether you are really giving students of color a voice. Part II offers a variety of helpful strategies for analysis and reflection. Each chapter includes personal stories, frank discussions of the barriers you may face, and practical ideas that will guide you as you work to confront privilege in your classroom, campus, and beyond.",2019,critical pedagogy,7,6.057114,-0.35021734,-2.9711642
460,611,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Lyons, Kelly Starling","Sing a Song: How ""Lift Every Voice and Sing"" Inspired Generations",,"Mallett, Keith",,Illustrations and easy-to-read text follow a family through five generations as each is inspired by the song written in 1900 to honor Abraham Lincoln. Includes author's note on the history of the song and its meaning in her family.,2019,juvenile fiction,9,4.655104,-0.55080295,-2.2085874
461,612,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Maillard, Kevin Noble",Fry Bread: A Native American Family Story,,"Martinez-Neal, Juana",,"Winner of the 2020 Robert F. Sibert Informational Book Medal A 2020 American Indian Youth Literature Picture Book Honor Winner “A wonderful and sweet book . . . Lovely stuff.” —The New York Times Book Review Told in lively and powerful verse by debut author Kevin Noble Maillard, Fry Bread is an evocative depiction of a modern Native American family, vibrantly illustrated by Pura Belpre Award winner and Caldecott Honoree Juana Martinez-Neal. Fry bread is food. It is warm and delicious, piled high on a plate. Fry bread is time. It brings families together for meals and new memories. Fry bread is nation. It is shared by many, from coast to coast and beyond. Fry bread is us. It is a celebration of old and new, traditional and modern, similarity and difference. A 2020 Charlotte Huck Recommended Book A Publishers Weekly Best Picture Book of 2019 A Kirkus Reviews Best Picture Book of 2019 A School Library Journal Best Picture Book of 2019 A Booklist 2019 Editor's Choice A Shelf Awareness Best Children's Book of 2019 A Goodreads Choice Award 2019 Semifinalist A Chicago Public Library Best of the Best Book of 2019 A National Public Radio (NPR) Best Book of 2019 An NCTE Notable Poetry Book A 2020 NCSS Notable Social Studies Trade Book for Young People A 2020 ALA Notable Children's Book A 2020 ILA Notable Book for a Global Society 2020 Bank Street College of Education Best Children's Books of the Year List One of NPR's 100 Favorite Books for Young Readers Nominee, Pennsylvania Young Readers Choice Award 2022-2022 Nominee, Illinois Monarch Award 2022",2019-10-22,juvenile fiction,9,3.1336942,-5.0852757,-3.43655
462,613,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Marley, Bob","Get Up, Stand Up","Marley Booker, Cedella","Cabuay, John Jay",,"Bob Marley's music has inspired millions of listeners around the world with messages of peace, love, and truth. This third picture book adaptation of one of his beloved songs has a timely message for children: To counter injustice, lift others up with kindness and courage. As a young girl goes on with her day in school, she comes across several instances of teasing and intimidation. But with loving action and some help from her friends, she's able to make things right for herself and others. With exuberant pictures by John Jay Cabuay accompanying Marley's iconic lyrics, Get Up, Stand Up is a vibrant testament to the power we all have to make a difference.",2019-09-10,juvenile fiction,9,1.748484,-2.6290991,-1.698333
463,614,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Marsalis, Wynton","Squeak, Rumble, Whomp! Whomp! Whomp!: A Sonic Adventure",,"Rogers, Paul",,"The creators of Jazz ABZ are back for an encore! With infectious rhythm and rhyme, musical master Wynton Marsalis opens kids’ ears to the sounds around us. Features an audio read-along performed by the author! What’s that sound? The back door squeeeaks open, sounding like a noisy mouse nearby — eeek, eeeek, eeeek! Big trucks on the highway rrrrrrrumble, just as hunger makes a tummy grrrrumble. Ringing with exuberance and auditory delights, this second collaboration by world-renowned jazz musician and composer Wynton Marsalis and acclaimed illustrator Paul Rogers takes readers (and listeners) on a rollicking, clanging, clapping tour through the many sounds that fill a neighborhood.",2013-03-14,juvenile fiction,7,1.8986437,-6.0827584,-2.5355453
464,615,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"Martinez-Neal, Juana",Alma and How She Got Her Name,,,,"When Alma Sofia Esperanza José Pura Candela asks her father why she has so many names, she hears the story of her name and learns about her grandparents.",2018-04,juvenile fiction,0,2.5507474,0.186169,0.37901017
465,616,Pennsylvania,Central York,Administrator,September 2021,Banned from Classrooms,"McDaniel, Breanna J.",Hands Up!,,"Evans, Shane W.",,"This triumphant picture book celebrates Black joy by reclaiming a charged phrase and showing readers how resistance can be part of their everyday lives. A young Black girl lifts her baby hands up to greet the sun, reaches her hands up for a book on a high shelf, and raises her hands up in praise at a church service. She stretches her hands up high like a plane's wings and whizzes down a hill so fast on her bike with her hands way up. As she grows, she lives through everyday moments of joy, love, and sadness. And when she gets a little older, she joins together with her family and her community in a protest march, where they lift their hands up together in resistance and strength.",2020-12-15,,9,0.96302783,-0.9871936,-5.167351
